Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-04-13,2233.989990234375,2237.3798828125,2208.199951171875,2228.919921875,3728440000,0,0
2021-04-14,2230.159912109375,2272.85009765625,2230.159912109375,2247.719970703125,3976540000,0,0
2021-04-15,2249.419921875,2264.159912109375,2240.75,2257.070068359375,4027680000,0,0
2021-04-16,2258.2900390625,2273.14990234375,2251.72998046875,2262.669921875,4157430000,0,0
2021-04-19,2261.110107421875,2261.110107421875,2219.050048828125,2232.0,3788020000,0,0
2021-04-20,2231.1298828125,2231.1298828125,2171.679931640625,2188.2099609375,4338230000,0,0
2021-04-21,2187.47998046875,2240.4599609375,2175.429931640625,2239.6298828125,0,0,0
2021-04-22,2240.8701171875,2268.530029296875,2227.489990234375,2232.610107421875,4235040000,0,0
2021-04-23,2233.719970703125,2281.219970703125,2233.719970703125,2271.860107421875,3568080000,0,0
2021-04-26,2275.340087890625,2302.3798828125,2275.340087890625,2298.010009765625,3738920000,0,0
2021-04-27,2298.830078125,2309.800048828125,2294.409912109375,2301.27001953125,3703240000,0,0
2021-04-28,2301.10009765625,2309.820068359375,2291.280029296875,2304.159912109375,3772390000,0,0
2021-04-29,2307.070068359375,2322.909912109375,2278.419921875,2295.4599609375,4288940000,0,0
2021-04-30,2292.489990234375,2292.489990234375,2259.300048828125,2266.449951171875,4273680000,0,0
2021-05-03,2268.6201171875,2288.570068359375,2267.780029296875,2277.449951171875,4061170000,0,0
2021-05-04,2275.10009765625,2275.10009765625,2225.699951171875,2248.2900390625,4441080000,0,0
2021-05-05,2250.1298828125,2260.0,2232.860107421875,2241.3701171875,4029050000,0,0
2021-05-06,2240.2099609375,2242.030029296875,2205.590087890625,2241.419921875,4504860000,0,0
2021-05-07,2242.10009765625,2271.81005859375,2240.56005859375,2271.6298828125,4013060000,0,0
2021-05-10,2271.090087890625,2271.239990234375,2212.590087890625,2212.699951171875,3678970000,0,0
2021-05-11,2206.47998046875,2215.68994140625,2157.139892578125,2206.989990234375,3593110000,0,0
2021-05-12,2205.02001953125,2205.02001953125,2132.25,2135.139892578125,3735080000,0,0
2021-05-13,2135.22998046875,2185.239990234375,2133.969970703125,2170.949951171875,3687780000,0,0
2021-05-14,2171.1298828125,2226.389892578125,2171.1298828125,2224.6298828125,3251920000,0,0
2021-05-17,2222.860107421875,2227.4599609375,2197.10009765625,2227.1201171875,3307130000,0,0
2021-05-18,2227.919921875,2244.429931640625,2210.429931640625,2210.8798828125,3559790000,0,0
2021-05-19,2205.77001953125,2205.77001953125,2159.139892578125,2193.639892578125,3485550000,0,0
2021-05-20,2194.68994140625,2210.919921875,2184.409912109375,2207.760009765625,3019060000,0,0
2021-05-21,2210.2099609375,2236.830078125,2210.2099609375,2215.27001953125,3344620000,0,0
2021-05-24,2223.050048828125,2237.1298828125,2218.14990234375,2227.340087890625,2947400000,0,0
2021-05-25,2229.239990234375,2247.81005859375,2205.72998046875,2205.75,3420870000,0,0
2021-05-26,2207.35009765625,2250.610107421875,2207.35009765625,2249.27001953125,3674490000,0,0
2021-05-27,2250.72998046875,2277.6201171875,2250.72998046875,2273.070068359375,5201110000,0,0
2021-05-28,2273.820068359375,2285.070068359375,2264.919921875,2268.969970703125,4199270000,0,0
2021-06-01,2270.3798828125,2298.719970703125,2270.3798828125,2294.739990234375,4122960000,0,0
2021-06-02,2295.659912109375,2302.219970703125,2285.050048828125,2297.830078125,4860930000,0,0
2021-06-03,2296.570068359375,2296.570068359375,2257.0,2279.25,4579450000,0,0
2021-06-04,2281.070068359375,2293.679931640625,2277.43994140625,2286.409912109375,3487070000,0,0
2021-06-07,2286.929931640625,2321.639892578125,2286.929931640625,2319.179931640625,3835570000,0,0
2021-06-08,2319.570068359375,2348.35009765625,2316.169921875,2343.760009765625,3943870000,0,0
2021-06-09,2344.820068359375,2350.699951171875,2325.56005859375,2327.1298828125,3902870000,0,0
2021-06-10,2327.97998046875,2337.760009765625,2305.7099609375,2311.409912109375,3502480000,0,0
2021-06-11,2312.60009765625,2335.81005859375,2312.60009765625,2335.81005859375,3204280000,0,0
2021-06-14,2337.449951171875,2348.639892578125,2320.169921875,2326.14990234375,3612050000,0,0
2021-06-15,2326.760009765625,2327.8701171875,2301.780029296875,2320.070068359375,3578450000,0,0
2021-06-16,2319.090087890625,2321.909912109375,2296.2099609375,2314.68994140625,3722050000,0,0
2021-06-17,2314.199951171875,2316.60009765625,2264.1201171875,2287.4599609375,3952110000,0,0
2021-06-18,2284.9599609375,2284.9599609375,2229.580078125,2237.75,6084980000,0,0
2021-06-21,2238.6201171875,2289.760009765625,2238.6201171875,2286.090087890625,3391740000,0,0
2021-06-22,2285.4599609375,2298.360107421875,2266.159912109375,2295.949951171875,3208760000,0,0
2021-06-23,2296.39990234375,2314.300048828125,2296.39990234375,2303.469970703125,3172440000,0,0
2021-06-24,2305.409912109375,2333.659912109375,2305.409912109375,2333.6201171875,3141680000,0,0
2021-06-25,2336.860107421875,2350.219970703125,2334.39990234375,2334.39990234375,6248390000,0,0
2021-06-28,2335.340087890625,2342.18994140625,2307.219970703125,2322.340087890625,3415610000,0,0
2021-06-29,2323.070068359375,2332.280029296875,2305.919921875,2308.840087890625,3049560000,0,0
2021-06-30,2307.949951171875,2317.300048828125,2295.429931640625,2310.550048828125,3687880000,0,0
2021-07-01,2312.570068359375,2332.280029296875,2312.570068359375,2329.360107421875,3077580000,0,0
2021-07-02,2328.530029296875,2332.949951171875,2302.93994140625,2305.760009765625,2628550000,0,0
2021-07-06,2305.9599609375,2306.909912109375,2256.969970703125,2274.5,3437900000,0,0
2021-07-07,2274.530029296875,2278.10009765625,2235.5,2252.85009765625,3243900000,0,0
2021-07-08,2249.93994140625,2252.719970703125,2192.97998046875,2231.679931640625,3393780000,0,0
2021-07-09,2234.830078125,2280.010009765625,2234.830078125,2280.0,2738280000,0,0
